ServiceStationCode,ServiceStationName
646,Costco Marsden Park (Members only)
647,Caltex Parklea
648,Caltex Eastern Creek
649,Caltex Marsden Park
650,7-Eleven Mount Druitt
651,Puma Energy Marsden Park
652,7-Eleven Emerton
653,Caltex Mount Druitt
654,BP Eastern Creek T/S
655,BP Glendenning
656,BP Woodcroft
657,BP Riverstone
658,Metro Fuel Doonside
659,BP Marsden Park
660,Metro Petroleum St Marys
661,United Petroleum Lethbridge Park
662,BP Minchinbury
